Airline,Price,Start_Day,Start_time,take_place,End_time,destination,flight_time,transit,total_time_hour,End_day,Is_Transit,Is_VietJet_Air,Is_Vietnam_Airlines,Is_Bamboo_Airways,Is_Vietravel_Airlines,Id_Plane
Vietnam Airlines,1585413,07-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,07-04-2025,0,0,0,0,0,0
VietJet Air,1398495,07-04-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,07-04-2025,0,0,0,0,0,2
Vietnam Airlines,1734264,08-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,08-04-2025,0,0,0,0,0,3
VietJet Air,1137150,08-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,08-04-2025,0,0,0,0,0,5
Vietnam Airlines,1585413,09-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,09-04-2025,0,0,0,0,0,6
VietJet Air,2442987,09-04-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,09-04-2025,0,0,0,0,0,8
"Vietnam Airlines, VietJet Air",2480751,09-04-2025,06:00,DAD,10:50,DLI,4h 50m,"1 điểm dừng
Tự trung chuyển",4.83,09-04-2025,1,1,1,0,0,9
VietJet Air,2537692,09-04-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,09-04-2025,0,0,0,0,0,10
"VietJet Air, Vietnam Airlines",2543382,09-04-2025,16:00,DAD,22:10,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,09-04-2025,1,1,1,0,0,11
"Vietnam Airlines, VietJet Air",2990948,09-04-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,09-04-2025,1,1,1,0,0,12
Vietnam Airlines,1734264,10-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,10-04-2025,0,0,0,0,0,13
VietJet Air,1137150,10-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,10-04-2025,0,0,0,0,0,15
Vietnam Airlines,1685313,11-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,11-04-2025,0,0,0,0,0,16
VietJet Air,2404998,11-04-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,11-04-2025,0,0,0,0,0,18
"Vietnam Airlines, VietJet Air",3090861,11-04-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,11-04-2025,1,1,1,0,0,19
Vietnam Airlines,1404594,12-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,12-04-2025,0,0,0,0,0,20
VietJet Air,1283783,12-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,12-04-2025,0,0,0,0,0,22
Vietnam Airlines,1686312,13-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,13-04-2025,0,0,0,0,0,23
VietJet Air,1137150,13-04-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,13-04-2025,0,0,0,0,0,25
VietJet Air,2344125,07-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,07-04-2025,0,0,0,0,0,26
"VietJet Air, Vietravel Airlines",2622453,07-04-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,07-04-2025,1,1,0,0,1,27
"VietJet Air, Vietravel Airlines",2622453,07-04-2025,07:20,DAD,18:25,PQC,11h 5m,"1 điểm dừng
Tự trung chuyển",11.08,07-04-2025,1,1,0,0,1,28
VietJet Air,2846440,07-04-2025,08:40,DAD,16:40,PQC,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,07-04-2025,0,0,0,0,0,29
"Bamboo Airways, Vietravel Airlines",3044382,07-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,07-04-2025,1,0,0,1,1,30
"VietJet Air, Vietravel Airlines",3109306,07-04-2025,11:10,DAD,18:25,PQC,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,07-04-2025,1,1,0,0,1,31
VietJet Air,3128186,07-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,07-04-2025,0,0,0,0,0,32
VietJet Air,1565078,08-04-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,08-04-2025,0,0,0,0,0,33
VietJet Air,1712708,08-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,08-04-2025,0,0,0,0,0,34
"VietJet Air, Vietravel Airlines",2563600,08-04-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,08-04-2025,1,1,0,0,1,35
"VietJet Air, Vietravel Airlines",2563600,08-04-2025,07:20,DAD,18:25,PQC,11h 5m,"1 điểm dừng
Tự trung chuyển",11.08,08-04-2025,1,1,0,0,1,36
"Bamboo Airways, Vietravel Airlines",2683180,08-04-2025,11:50,DAD,18:25,PQC,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,08-04-2025,1,0,0,1,1,37
"Bamboo Airways, Vietravel Airlines",2683180,08-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,08-04-2025,1,0,0,1,1,38
VietJet Air,2958440,08-04-2025,07:40,DAD,15:05,PQC,7h 25m,"1 điểm dừng
Tự trung chuyển",7.42,08-04-2025,0,0,0,0,0,39
VietJet Air,2958440,08-04-2025,07:20,DAD,15:05,PQC,7h 45m,"1 điểm dừng
Tự trung chuyển",7.75,08-04-2025,0,0,0,0,0,40
VietJet Air,3088286,08-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,08-04-2025,0,0,0,0,0,41
VietJet Air,1565078,09-04-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,09-04-2025,0,0,0,0,0,42
VietJet Air,2176388,09-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,09-04-2025,0,0,0,0,0,43
"Vietnam Airlines, VietJet Air",2287738,09-04-2025,07:00,DAD,16:40,PQC,9h 40m,"1 điểm dừng
Tự trung chuyển",9.67,09-04-2025,1,1,1,0,0,44
"Vietnam Airlines, VietJet Air",2287738,09-04-2025,07:00,DAD,18:15,PQC,11h 15m,"1 điểm dừng
Tự trung chuyển",11.25,09-04-2025,1,1,1,0,0,45
VietJet Air,2397539,09-04-2025,06:55,DAD,12:35,PQC,5h 40m,"1 điểm dừng
Tự trung chuyển",5.67,09-04-2025,0,0,0,0,0,46
"Vietnam Airlines, VietJet Air",2398738,09-04-2025,07:00,DAD,12:35,PQC,5h 35m,"1 điểm dừng
Tự trung chuyển",5.58,09-04-2025,1,1,1,0,0,47
VietJet Air,2410533,09-04-2025,08:40,DAD,16:40,PQC,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,09-04-2025,0,0,0,0,0,48
"Bamboo Airways, Vietravel Airlines",2493693,09-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,09-04-2025,1,0,0,1,1,49
VietJet Air,2946641,09-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,09-04-2025,0,0,0,0,0,50
VietJet Air,1565078,10-04-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,10-04-2025,0,0,0,0,0,51
VietJet Air,1748556,10-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,10-04-2025,0,0,0,0,0,52
"VietJet Air, Vietravel Airlines",2097616,10-04-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,10-04-2025,1,1,0,0,1,53
"VietJet Air, Vietravel Airlines",2169588,10-04-2025,08:40,DAD,18:25,PQC,9h 45m,"1 điểm dừng
Tự trung chuyển",9.75,10-04-2025,1,1,0,0,1,54
"Bamboo Airways, Vietravel Airlines",2237740,10-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,10-04-2025,1,0,0,1,1,55
VietJet Air,2315216,10-04-2025,07:40,DAD,12:35,PQC,4h 55m,"1 điểm dừng
Tự trung chuyển",4.92,10-04-2025,0,0,0,0,0,56
VietJet Air,2315216,10-04-2025,07:40,DAD,15:05,PQC,7h 25m,"1 điểm dừng
Tự trung chuyển",7.42,10-04-2025,0,0,0,0,0,57
VietJet Air,2387188,10-04-2025,08:40,DAD,16:40,PQC,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,10-04-2025,0,0,0,0,0,58
"VietJet Air, Vietravel Airlines",2430933,10-04-2025,09:35,DAD,18:25,PQC,8h 50m,"1 điểm dừng
Tự trung chuyển",8.83,10-04-2025,1,1,0,0,1,59
VietJet Air,3059759,10-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,10-04-2025,0,0,0,0,0,60
VietJet Air,1578553,11-04-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,11-04-2025,0,0,0,0,0,61
VietJet Air,2176388,11-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,11-04-2025,0,0,0,0,0,62
VietJet Air,2403576,11-04-2025,07:40,DAD,16:40,PQC,9h 0m,"1 điểm dừng
Tự trung chuyển",9.0,11-04-2025,0,0,0,0,0,63
VietJet Air,2403576,11-04-2025,07:40,DAD,18:15,PQC,10h 35m,"1 điểm dừng
Tự trung chuyển",10.58,11-04-2025,0,0,0,0,0,64
"Bamboo Airways, Vietravel Airlines",2565918,11-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,11-04-2025,1,0,0,1,1,65
VietJet Air,2647533,11-04-2025,11:10,DAD,16:40,PQC,5h 30m,"1 điểm dừng
Tự trung chuyển",5.5,11-04-2025,0,0,0,0,0,66
VietJet Air,2647533,11-04-2025,11:10,DAD,18:15,PQC,7h 5m,"1 điểm dừng
Tự trung chuyển",7.08,11-04-2025,0,0,0,0,0,67
VietJet Air,2659255,11-04-2025,08:40,DAD,16:40,PQC,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,11-04-2025,0,0,0,0,0,68
VietJet Air,3231329,11-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,11-04-2025,0,0,0,0,0,69
VietJet Air,1573058,12-04-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,12-04-2025,0,0,0,0,0,70
VietJet Air,1748556,12-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,12-04-2025,0,0,0,0,0,71
VietJet Air,2166576,12-04-2025,07:40,DAD,16:40,PQC,9h 0m,"1 điểm dừng
Tự trung chuyển",9.0,12-04-2025,0,0,0,0,0,72
VietJet Air,2166576,12-04-2025,07:40,DAD,18:15,PQC,10h 35m,"1 điểm dừng
Tự trung chuyển",10.58,12-04-2025,0,0,0,0,0,73
"Bamboo Airways, Vietravel Airlines",2236743,12-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,12-04-2025,1,0,0,1,1,74
VietJet Air,2540576,12-04-2025,07:40,DAD,12:35,PQC,4h 55m,"1 điểm dừng
Tự trung chuyển",4.92,12-04-2025,0,0,0,0,0,75
VietJet Air,2540576,12-04-2025,07:20,DAD,12:35,PQC,5h 15m,"1 điểm dừng
Tự trung chuyển",5.25,12-04-2025,0,0,0,0,0,76
"Vietnam Airlines, VietJet Air",2812587,12-04-2025,07:00,DAD,12:35,PQC,5h 35m,"1 điểm dừng
Tự trung chuyển",5.58,12-04-2025,1,1,1,0,0,77
VietJet Air,3230331,12-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,12-04-2025,0,0,0,0,0,78
VietJet Air,2176388,13-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,13-04-2025,0,0,0,0,0,79
"VietJet Air, Vietravel Airlines",2345148,13-04-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,13-04-2025,1,1,0,0,1,80
"VietJet Air, Vietravel Airlines",2345148,13-04-2025,06:55,DAD,18:25,PQC,11h 30m,"1 điểm dừng
Tự trung chuyển",11.5,13-04-2025,1,1,0,0,1,81
"Bamboo Airways, Vietravel Airlines",2890940,13-04-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,13-04-2025,1,0,0,1,1,82
VietJet Air,3089283,13-04-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,13-04-2025,0,0,0,0,0,83
"VietJet Air, Vietravel Airlines",3242898,13-04-2025,09:35,DAD,18:25,PQC,8h 50m,"1 điểm dừng
Tự trung chuyển",8.83,13-04-2025,1,1,0,0,1,84
"VietJet Air, Vietravel Airlines",3356613,13-04-2025,11:10,DAD,18:25,PQC,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,13-04-2025,1,1,0,0,1,85
"VietJet Air, Vietravel Airlines",3386538,13-04-2025,12:15,DAD,18:25,PQC,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,13-04-2025,1,1,0,0,1,86
VietJet Air,3456406,13-04-2025,11:10,DAD,18:15,PQC,7h 5m,"1 điểm dừng
Tự trung chuyển",7.08,13-04-2025,0,0,0,0,0,87
"VietJet Air, Vietnam Airlines",3221922,07-04-2025,07:40,DAD,08:00,VDO,24h 20m,"1 điểm dừng
Tự trung chuyển",24.33,08-04-2025,1,1,1,0,0,88
"VietJet Air, Vietnam Airlines",3221922,07-04-2025,07:20,DAD,08:00,VDO,24h 40m,"1 điểm dừng
Tự trung chuyển",24.67,08-04-2025,1,1,1,0,0,89
"VietJet Air, Vietnam Airlines",3369552,07-04-2025,08:40,DAD,08:00,VDO,23h 20m,"1 điểm dừng
Tự trung chuyển",23.33,08-04-2025,1,1,1,0,0,90
"VietJet Air, Vietnam Airlines",3370978,07-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,08-04-2025,1,1,1,0,0,91
"Vietravel Airlines, Vietnam Airlines",3384515,07-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,08-04-2025,1,0,1,0,1,92
VietJet Air,3388794,07-04-2025,07:40,DAD,16:15,VDO,8h 35m,"1 điểm dừng
Tự trung chuyển",8.58,07-04-2025,0,0,0,0,0,93
VietJet Air,3388794,07-04-2025,07:20,DAD,16:15,VDO,8h 55m,"1 điểm dừng
Tự trung chuyển",8.92,07-04-2025,0,0,0,0,0,94
VietJet Air,3536424,07-04-2025,08:40,DAD,16:15,VDO,7h 35m,"1 điểm dừng
Tự trung chuyển",7.58,07-04-2025,0,0,0,0,0,95
"Bamboo Airways, Vietnam Airlines",3643851,07-04-2025,08:25,DAD,08:00,VDO,23h 35m,"1 điểm dừng
Tự trung chuyển",23.58,08-04-2025,1,0,1,1,0,96
"VietJet Air, Vietnam Airlines",3708775,07-04-2025,11:10,DAD,08:00,VDO,20h 50m,"1 điểm dừng
Tự trung chuyển",20.83,08-04-2025,1,1,1,0,0,97
"Bamboo Airways, VietJet Air",3810723,07-04-2025,08:25,DAD,16:15,VDO,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,07-04-2025,1,1,0,1,0,98
"Vietnam Airlines, VietJet Air",4282416,07-04-2025,09:00,DAD,16:15,VDO,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,07-04-2025,1,1,1,0,0,99
"Vietnam Airlines, VietJet Air",4313345,07-04-2025,10:00,DAD,16:15,VDO,6h 15m,"1 điểm dừng
Tự trung chuyển",6.25,07-04-2025,1,1,1,0,0,100
"Vietravel Airlines, VietJet Air",3015540,08-04-2025,23:15,DAD,16:15,VDO,17h 0m,"1 điểm dừng
Tự trung chuyển",17.0,09-04-2025,1,1,0,0,1,101
VietJet Air,3218032,08-04-2025,23:15,DAD,16:15,VDO,17h 0m,"1 điểm dừng
Tự trung chuyển",17.0,09-04-2025,0,0,0,0,0,102
VietJet Air,3218032,08-04-2025,19:45,DAD,16:15,VDO,20h 30m,"1 điểm dừng
Tự trung chuyển",20.5,09-04-2025,0,0,0,0,0,103
VietJet Air,3535237,08-04-2025,21:05,DAD,16:15,VDO,19h 10m,"1 điểm dừng
Tự trung chuyển",19.17,09-04-2025,0,0,0,0,0,104
VietJet Air,3535237,08-04-2025,18:05,DAD,16:15,VDO,22h 10m,"1 điểm dừng
Tự trung chuyển",22.17,09-04-2025,0,0,0,0,0,105
VietJet Air,3535237,08-04-2025,16:00,DAD,16:15,VDO,24h 15m,"1 điểm dừng
Tự trung chuyển",24.25,09-04-2025,0,0,0,0,0,106
VietJet Air,3535237,08-04-2025,15:20,DAD,16:15,VDO,24h 55m,"1 điểm dừng
Tự trung chuyển",24.92,09-04-2025,0,0,0,0,0,107
"VietJet Air, Vietnam Airlines",3221922,09-04-2025,07:40,DAD,08:00,VDO,24h 20m,"1 điểm dừng
Tự trung chuyển",24.33,10-04-2025,1,1,1,0,0,108
"VietJet Air, Vietnam Airlines",3221922,09-04-2025,07:20,DAD,08:00,VDO,24h 40m,"1 điểm dừng
Tự trung chuyển",24.67,10-04-2025,1,1,1,0,0,109
"VietJet Air, Vietnam Airlines",3369552,09-04-2025,08:40,DAD,08:00,VDO,23h 20m,"1 điểm dừng
Tự trung chuyển",23.33,10-04-2025,1,1,1,0,0,110
"VietJet Air, Vietnam Airlines",3370978,09-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,10-04-2025,1,1,1,0,0,111
"Vietravel Airlines, Vietnam Airlines",3384515,09-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,10-04-2025,1,0,1,0,1,112
VietJet Air,3388794,09-04-2025,07:40,DAD,16:15,VDO,8h 35m,"1 điểm dừng
Tự trung chuyển",8.58,09-04-2025,0,0,0,0,0,113
VietJet Air,3388794,09-04-2025,07:20,DAD,16:15,VDO,8h 55m,"1 điểm dừng
Tự trung chuyển",8.92,09-04-2025,0,0,0,0,0,114
VietJet Air,3536424,09-04-2025,08:40,DAD,16:15,VDO,7h 35m,"1 điểm dừng
Tự trung chuyển",7.58,09-04-2025,0,0,0,0,0,115
"Bamboo Airways, Vietnam Airlines",3643851,09-04-2025,08:25,DAD,08:00,VDO,23h 35m,"1 điểm dừng
Tự trung chuyển",23.58,10-04-2025,1,0,1,1,0,116
"Vietravel Airlines, VietJet Air",2634423,10-04-2025,23:15,DAD,16:15,VDO,17h 0m,"1 điểm dừng
Tự trung chuyển",17.0,11-04-2025,1,1,0,0,1,117
VietJet Air,2765941,10-04-2025,23:15,DAD,16:15,VDO,17h 0m,"1 điểm dừng
Tự trung chuyển",17.0,11-04-2025,0,0,0,0,0,118
VietJet Air,2833923,10-04-2025,21:05,DAD,16:15,VDO,19h 10m,"1 điểm dừng
Tự trung chuyển",19.17,11-04-2025,0,0,0,0,0,119
VietJet Air,2837913,10-04-2025,19:45,DAD,16:15,VDO,20h 30m,"1 điểm dừng
Tự trung chuyển",20.5,11-04-2025,0,0,0,0,0,120
VietJet Air,3088285,10-04-2025,18:05,DAD,16:15,VDO,22h 10m,"1 điểm dừng
Tự trung chuyển",22.17,11-04-2025,0,0,0,0,0,121
VietJet Air,3088285,10-04-2025,15:20,DAD,16:15,VDO,24h 55m,"1 điểm dừng
Tự trung chuyển",24.92,11-04-2025,0,0,0,0,0,122
VietJet Air,3099258,10-04-2025,16:00,DAD,16:15,VDO,24h 15m,"1 điểm dừng
Tự trung chuyển",24.25,11-04-2025,0,0,0,0,0,123
VietJet Air,2855301,11-04-2025,07:40,DAD,16:15,VDO,8h 35m,"1 điểm dừng
Tự trung chuyển",8.58,11-04-2025,0,0,0,0,0,124
VietJet Air,2855301,11-04-2025,06:55,DAD,16:15,VDO,9h 20m,"1 điểm dừng
Tự trung chuyển",9.33,11-04-2025,0,0,0,0,0,125
"Bamboo Airways, VietJet Air",2906065,11-04-2025,08:25,DAD,16:15,VDO,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,11-04-2025,1,1,0,1,0,126
VietJet Air,3110980,11-04-2025,08:40,DAD,16:15,VDO,7h 35m,"1 điểm dừng
Tự trung chuyển",7.58,11-04-2025,0,0,0,0,0,127
"Vietnam Airlines, VietJet Air",3820658,11-04-2025,10:00,DAD,16:15,VDO,6h 15m,"1 điểm dừng
Tự trung chuyển",6.25,11-04-2025,1,1,1,0,0,128
"Vietnam Airlines, VietJet Air",4124034,11-04-2025,09:00,DAD,16:15,VDO,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,11-04-2025,1,1,1,0,0,129
"Vietravel Airlines, Vietnam Airlines",5127639,11-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,12-04-2025,1,0,1,0,1,130
"VietJet Air, Vietnam Airlines",5354917,11-04-2025,23:15,DAD,08:00,VDO,8h 45m,"1 điểm dừng
Tự trung chuyển",8.75,12-04-2025,1,1,1,0,0,131
"VietJet Air, Vietnam Airlines",5444277,11-04-2025,21:05,DAD,08:00,VDO,10h 55m,"1 điểm dừng
Tự trung chuyển",10.92,12-04-2025,1,1,1,0,0,132
Vietnam Airlines,1590408,11-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,11-05-2025,0,0,0,0,0,133
VietJet Air,819945,11-05-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,11-05-2025,0,0,0,0,0,135
Vietnam Airlines,1454544,12-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,12-05-2025,0,0,0,0,0,136
VietJet Air,801990,12-05-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,12-05-2025,0,0,0,0,0,138
Vietnam Airlines,1405593,13-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,13-05-2025,0,0,0,0,0,139
VietJet Air,1030418,13-05-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,13-05-2025,0,0,0,0,0,141
VietJet Air,1662102,13-05-2025,14:55,DAD,19:30,DLI,4h 35m,"1 điểm dừng
Tự trung chuyển",4.58,13-05-2025,0,0,0,0,0,142
Vietnam Airlines,1456542,14-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,14-05-2025,0,0,0,0,0,143
VietJet Air,2153803,14-05-2025,05:30,DAD,10:50,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,14-05-2025,0,0,0,0,0,145
"VietJet Air, Vietnam Airlines",2187054,14-05-2025,06:55,DAD,11:10,DLI,4h 15m,"1 điểm dừng
Tự trung chuyển",4.25,14-05-2025,1,1,1,0,0,146
VietJet Air,2258365,14-05-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,14-05-2025,0,0,0,0,0,147
VietJet Air,2443927,14-05-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,14-05-2025,0,0,0,0,0,148
"Vietnam Airlines, VietJet Air",2977961,14-05-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,14-05-2025,1,1,1,0,0,149
Vietnam Airlines,1406592,15-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,15-05-2025,0,0,0,0,0,150
VietJet Air,1284780,15-05-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,15-05-2025,0,0,0,0,0,152
Vietnam Airlines,1755243,16-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,16-05-2025,0,0,0,0,0,153
"VietJet Air, Vietnam Airlines",2442798,16-05-2025,05:30,DAD,09:50,DLI,4h 20m,"1 điểm dừng
Tự trung chuyển",4.33,16-05-2025,1,1,1,0,0,155
VietJet Air,2571581,16-05-2025,11:10,DAD,16:30,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,16-05-2025,0,0,0,0,0,156
VietJet Air,2608605,16-05-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,16-05-2025,0,0,0,0,0,157
"Vietnam Airlines, VietJet Air",3012751,16-05-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,16-05-2025,1,1,1,0,0,158
Vietnam Airlines,1539459,17-05-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,17-05-2025,0,0,0,0,0,159
VietJet Air,800993,17-05-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,17-05-2025,0,0,0,0,0,161
VietJet Air,2347720,11-05-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,11-05-2025,0,0,0,0,0,162
VietJet Air,2243815,11-05-2025,09:35,DAD,16:40,PQC,7h 5m,"1 điểm dừng
Tự trung chuyển",7.08,11-05-2025,0,0,0,0,0,163
VietJet Air,2220873,11-05-2025,08:40,DAD,16:40,PQC,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,11-05-2025,0,0,0,0,0,164
"VietJet Air, Vietravel Airlines",2227443,11-05-2025,09:35,DAD,18:25,PQC,8h 50m,"1 điểm dừng
Tự trung chuyển",8.83,11-05-2025,1,1,0,0,1,165
"Bamboo Airways, Vietravel Airlines",2262273,11-05-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,11-05-2025,1,0,0,1,1,166
"VietJet Air, Vietravel Airlines",2078512,11-05-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,11-05-2025,1,1,0,0,1,167
"VietJet Air, Vietravel Airlines",2078512,11-05-2025,06:55,DAD,18:25,PQC,11h 30m,"1 điểm dừng
Tự trung chuyển",11.5,11-05-2025,1,1,0,0,1,168
VietJet Air,3395516,11-05-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,11-05-2025,0,0,0,0,0,169
VietJet Air,2774221,12-05-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,12-05-2025,0,0,0,0,0,170
"VietJet Air, Vietravel Airlines",2074826,12-05-2025,08:40,DAD,18:25,PQC,9h 45m,"1 điểm dừng
Tự trung chuyển",9.75,12-05-2025,1,1,0,0,1,171
"VietJet Air, Vietravel Airlines",2074826,12-05-2025,07:20,DAD,18:25,PQC,11h 5m,"1 điểm dừng
Tự trung chuyển",11.08,12-05-2025,1,1,0,0,1,172
"Bamboo Airways, Vietravel Airlines",2132598,12-05-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,12-05-2025,1,0,0,1,1,173
VietJet Air,2828935,12-05-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,12-05-2025,0,0,0,0,0,174
"VietJet Air, Vietnam Airlines",2967954,12-05-2025,08:40,DAD,14:00,PQC,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,12-05-2025,1,1,1,0,0,175
"VietJet Air, Vietnam Airlines",2967954,12-05-2025,07:20,DAD,14:00,PQC,6h 40m,"1 điểm dừng
Tự trung chuyển",6.67,12-05-2025,1,1,1,0,0,176
